name,type,state,county,city,zip
New Castle County Police Department,Local police department,DE,New Castle,New Castle,19720
Tempe Police Department,Local police department,AZ,Maricopa,Tempe,85281
Montgomery County Sheriff's Office,Sheriff's office,TX,Montgomery,Conroe,77301
Mecklenburg County Sheriff's Office,Sheriff's office,NC,Mecklenburg,Charlotte,28202
Seminole County Sheriff's Office,Sheriff's office,FL,Seminole,Sanford,32773
Kansas City Police Department,Local police department,KS,Wyandotte,Kansas City,66101
Wake County Sheriff's Office,Sheriff's office,NC,Wake,Raleigh,27602
Columbia Police Department,Local police department,SC,Richland,Columbia,29201
New Hampshire State Police,Primary state law enforcement agency,NH,Merrimack,Concord,03305
Marion County Sheriff's Office,Sheriff's office,FL,Marion,Ocala,34478
Elizabeth Police,Local police department,NJ,Union,Elizabeth,07201
Bakersfield Police Department,Local police department,CA,Kern,Bakersfield,93301
Harris County Constable Pct. 4,Constable/marshal,TX,Harris,Spring,77379
San Bernardino Police Department,Local police department,CA,San Bernardino,San Bernardino,92401
Irving Police Department,Local police department,TX,Dallas,Irving,75015
South Carolina Law Enforcement Division,Special jurisdiction,SC,Richland,Columbia,29221
Plano Police Department,Local police department,TX,Collin,Plano,75086
New Jersey Division of Criminal Justice,Special jurisdiction,NJ,Mercer,Trenton,08625
Salt Lake County Sheriff's Office,Sheriff's office,UT,Salt Lake,Salt Lake City,84190
Fayetteville Police Department,Local police department,NC,Cumberland,Fayetteville,28301
Los Angeles School Police Department,Special jurisdiction,CA,Los Angeles,Los Angleles,90015
Cherokee County Sheriff's Office,Sheriff's office,GA,Cherokee,Canton,30115
Hialeah Police Department,Local police department,FL,Miami-Dade,Hialeah,33013
Clayton County Police Department,Local police department,GA,Clayton,Jonesboro,30236
Henderson Police Department,Local police department,NV,Clark,Henderson,89009
San Mateo County Sheriff's Office,Sheriff's office,CA,San Mateo,Redwood City,94063
Maine State Police,Primary state law enforcement agency,ME,Kennebec,Augusta,04333
Chandler Police Department,Local police department,AZ,Maricopa,Chandler,85244
Hamilton County Sheriff's Office,Sheriff's office,OH,Hamilton,Cincinnati,45202
California Dept of Fish And Game - Law Enforcement,Special jurisdiction,CA,Sacramento,Sacramento,95814
Maui (County) Police Department,Local police department,HI,Maui,Wailuku,96793
Albany Police Department,Local police department,NY,Albany,Albany,12210
DeKalb County Sheriff's Office,Sheriff's office,GA,DeKalb,Decatur,30032
North Charleston Police Department,Local police department,SC,Charleston,North Charleston,29419
Garland Police Department,Local police department,TX,Dallas,Garland,75042
New York State Department of Environmental Conservation,Special jurisdiction,NY,Albany,Albany,12233
Grand Rapids Police Department,Local police department,MI,Kent,Grand Rapids,49503
Clackamas County Sheriff's Office,Sheriff's office,OR,Clackamas,Oregon City,97045
Hennepin County Sheriff's Office,Sheriff's office,MN,Hennepin,Minneapolis,55415
Harris County Constable Pct. 5,Constable/marshal,TX,Harris,Houston,77094
Hollywood Police Department,Local police department,FL,Broward,Hollywood,33021
Alexandria Police Department,Local police department,VA,Alexandria City,Alexandria,22314
Monterey County Sheriff's Office,Sheriff's office,CA,Monterey,Salinas,93906
New Hanover County Sheriff's Office,Sheriff's office,NC,New Hanover,Castle Hayne,28429
Amarillo Police Department,Local police department,TX,Potter,Amarillo,79101
West Palm Beach Police Department,Local police department,FL,Palm Beach,West Palm Beach,33401
MARTA Police Department,Special jurisdiction,GA,Fulton,Atlanta,30324
Henrico County Sheriff's Office,Sheriff's office,VA,Henrico,Richmond,23273
Lincoln Police Dept,Local police department,NE,Lancaster,Lincoln,68508
Vermont State Police,Primary state law enforcement agency,VT,Washington,Waterbury,05671
Wilmington Police Department,Local police department,DE,New Castle,Wilmington,19801
Springfield Police Dept,Local police department,MO,Greene,Springfield,65802
Boise Police Department,Local police department,ID,Ada,Boise,83704
New York State Park Police,Special jurisdiction,NY,Albany,Albany,12238
Joliet Police Dept,Local police department,IL,Will,Joliet,60432
Rockford Police Dept,Local police department,IL,Winnebago,Rockford,61101
Cumberland County Sheriff's Office,Sheriff's office,NC,Cumberland,Fayetteville,28301
Bossier Parish Sheriff's Office,Sheriff's office,LA,Bossier,Benton,71006
Butler County Sheriff's Office,Sheriff's office,OH,Butler,Hamilton,45011
Terrebonne Parish Sheriff's Office,Sheriff's office,LA,Terrebonne,Houma,70361
Aurora Police Dept,Local police department,IL,Kane,Aurora,60506
Mahoning County Sheriff's Office,Sheriff's office,OH,Mahoning,Youngstown,44503
Spartanburg County Sheriff's Office,Sheriff's office,SC,Spartanburg,Spartanburg,29304
Spokane Police Department,Local police department,WA,Spokane,Spokane,99260
Santa Barbara County Sheriff's Office,Sheriff's office,CA,Santa Barbara,Santa Barbara,93110
Pierce County Sheriff's Office,Sheriff's office,WA,Pierce,Tacoma,98402
St. Charles Parish Sheriff's Office,Sheriff's office,LA,St. Charles,Hahnville,70057
Hawaii Department of Public Safety,Primary state law enforcement agency,HI,Honolulu,Honolulu,96814
Bibb County Sheriff's Office,Sheriff's office,GA,Bibb,Macon,31201
Travis County Sheriff's Office,Sheriff's office,TX,Travis,Austin,78767
Charles County Sheriff's Office,Sheriff's office,MD,Charles,La Plata,20646
Lucas County Sheriff's Office,Sheriff's office,OH,Lucas,Toledo,43604
New Bedford Police Department,Local police department,MA,Bristol,New Bedford,02740
Snohomish County Sheriff's Office,Sheriff's office,WA,Snohomish,Everett,98201
Montgomery County Sheriff's Office,Sheriff's office,TN,Montgomery,Clarksville,37040
Lafourche Parish Sheriff's Office,Sheriff's office,LA,Lafourche,Thibodaux,70302
